source	transformation	target
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡	quant	All of the lights are on
⚫️ ⚫️	quant	None of the lights are on
💡 💡	quant	All of the lights are on
💡 💡 💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 ⚫️ ⚫️	quant	Some of the lights are on
⚫️ ⚫️	quant	None of the lights are on
💡	quant	All of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
⚫️	quant	None of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Most of the lights are on
💡 💡	quant	All of the lights are on
⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡	quant	All of the lights are on
💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 💡	quant	All of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️	quant	Some of the lights are on
⚫️	quant	None of the lights are on
⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡	quant	All of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️	quant	Most of the lights are on
⚫️	quant	None of the lights are on
💡 💡 💡 💡	quant	All of the lights are on
💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
⚫️ ⚫️	quant	None of the lights are on
⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡	quant	All of the lights are on
💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️	quant	None of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡	quant	All of the lights are on
⚫️	quant	None of the lights are on
💡 💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 ⚫️ ⚫️	quant	Some of the lights are on
💡	quant	All of the lights are on
💡 💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
⚫️	quant	None of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡	quant	All of the lights are on
💡 💡 💡	quant	All of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
⚫️	quant	None of the lights are on
⚫️	quant	None of the lights are on
💡 💡	quant	All of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡	quant	All of the lights are on
⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡	quant	All of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 💡 ⚫️	quant	Most of the lights are on
⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡	quant	All of the lights are on
💡 ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡	quant	All of the lights are on
💡	quant	All of the lights are on
💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡	quant	All of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️	quant	None of the lights are on
⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 ⚫️	quant	Some of the lights are on
💡	quant	All of the lights are on
💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡	quant	All of the lights are on
💡 ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡	quant	All of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
⚫️	quant	None of the lights are on
💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
⚫️	quant	None of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡	quant	All of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
⚫️	quant	None of the lights are on
💡 💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 💡	quant	All of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️	quant	Most of the lights are on
⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 ⚫️	quant	Some of the lights are on
💡	quant	All of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 ⚫️ ⚫️	quant	Some of the lights are on
💡	quant	All of the lights are on
💡 💡 💡	quant	All of the lights are on
💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 💡	quant	All of the lights are on
💡 💡 💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 💡	quant	All of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️	quant	None of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡	quant	All of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡	quant	All of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡	quant	All of the lights are on
💡 ⚫️	quant	Some of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 💡	quant	All of the lights are on
💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡	quant	All of the lights are on
💡 💡 💡	quant	All of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡	quant	All of the lights are on
💡	quant	All of the lights are on
⚫️ ⚫️	quant	None of the lights are on
💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Most of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡	quant	All of the lights are on
💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡	quant	All of the lights are on
⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡	quant	All of the lights are on
⚫️	quant	None of the lights are on
💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡	quant	All of the lights are on
💡 ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
⚫️	quant	None of the lights are on
💡 💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡	quant	All of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡	quant	All of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡	quant	All of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡 ⚫️	quant	Most of the lights are on
💡	quant	All of the lights are on
💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️	quant	Some of the lights are on
💡 ⚫️	quant	Some of the lights are on
💡 💡 💡 💡	quant	All of the lights are on
💡 ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 ⚫️	quant	Most of the lights are on
⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡	quant	All of the lights are on
💡 💡 💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
⚫️	quant	None of the lights are on
⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡	quant	All of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡	quant	All of the lights are on
💡	quant	All of the lights are on
⚫️ ⚫️	quant	None of the lights are on
💡 💡 💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
💡 💡 💡 ⚫️	quant	Most of the lights are on
💡 💡 💡 💡 💡 💡 💡 ⚫️ ⚫️	quant	Most of the lights are on
⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️ ⚫️	quant	None of the lights are on
💡 ⚫️ ⚫️ ⚫️	quant	Some of the lights are on
